datafile=mtCDNA.meg
NodeLabel      	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
homo sapiens   	     1	     -	     -	               -	               -	               -	        1.148398	            -
chimpanzee     	     2	     -	     -	               -	               -	               -	        0.821388	            -
bonobo         	     3	     -	     -	               -	               -	               -	        0.808047	            -
gorilla        	     4	     -	     -	               -	               -	               -	        0.949742	            -
orangutan      	     5	     -	     -	               -	               -	               -	        1.348223	            -
sumatran       	     6	     -	     -	               -	               -	               -	        0.834008	            -
gibbon         	     7	     -	     -	               -	               -	               -	        1.008138	            -
-              	     8	     2	     3	        0.077660	        0.045061	        0.110260	        0.814690	       100.00%
-              	     9	     8	     1	        0.210586	        0.138713	        0.282458	        0.967258	       100.00%
demoLabel2     	    10	     9	     4	        0.282288	        0.200617	        0.363958	        0.958460	       100.00%
-              	    11	     5	     6	        0.115252	        0.076326	        0.154178	        1.060391	       100.00%
-              	    12	    10	    11	        0.594076	        0.439042	        0.749109	        1.008138	       100.00%
-              	    13	    12	     7	        0.806409	               -	               -	        1.008138	       100.00%
